Training Data %,Epochs,Pseudo-Thresh,Y-Thresh,Average,STD
0.1,40,0.8325,0.5,0.878406,0.024105
0.1,10,0.8325,0.7,0.873170,0.027621
0.1,20,0.8325,0.7,0.870924,0.029903
0.1,40,0.8325,0.7,0.872414,0.027243
0.1,10,0.875,0.3,0.870512,0.025195
0.1,20,0.875,0.3,0.864610,0.022851
0.1,40,0.875,0.3,0.877882,0.024118
0.1,10,0.875,0.5,0.865410,0.026045
0.1,20,0.875,0.5,0.881504,0.029381
0.1,40,0.875,0.5,0.879158,0.019230
0.1,10,0.875,0.7,0.871994,0.024843
0.1,20,0.875,0.7,0.881663,0.026802
0.1,40,0.875,0.7,0.874472,0.019158
0.1,10,0.9075,0.3,0.874756,0.035905
0.1,20,0.9075,0.3,0.885925,0.031713
0.1,40,0.9075,0.3,0.875586,0.023470
0.1,10,0.9075,0.5,0.867126,0.025463
0.1,20,0.9075,0.5,0.881860,0.022921
0.1,40,0.9075,0.5,0.877167,0.023677
0.1,10,0.9075,0.7,0.862320,0.024875
0.1,20,0.9075,0.7,0.885444,0.024274
0.1,40,0.9075,0.7,0.887334,0.018916
0.1,10,0.95,0.3,0.868162,0.020259
0.1,20,0.95,0.3,0.873179,0.019365
0.1,40,0.95,0.3,0.881838,0.020397
0.1,10,0.95,0.5,0.869863,0.038200
0.1,20,0.95,0.5,0.870310,0.035713
0.1,40,0.95,0.5,0.879064,0.008445
0.1,10,0.95,0.7,0.872257,0.027348
0.1,20,0.95,0.7,0.886226,0.027484
0.1,40,0.95,0.7,0.883879,0.021556
